iter	Passed	Remaining
0	62	31020
1	62	15558
2	62	10399
3	63	7825
4	63	6277
5	63	5246
6	63	4506
7	64	3953
8	64	3523
9	64	3177
10	65	2896
11	65	2660
12	65	2462
13	65	2290
14	66	2142
15	66	2013
16	66	1899
17	67	1797
18	67	1705
19	67	1623
20	67	1549
21	68	1482
22	68	1420
23	68	1364
24	69	1314
25	69	1266
26	69	1221
27	69	1179
28	70	1140
29	70	1104
30	70	1070
31	71	1038
32	71	1009
33	71	981
34	71	954
35	72	929
36	72	905
37	72	882
38	72	860
39	73	840
40	73	821
41	74	811
42	74	794
43	75	779
44	75	763
45	75	747
46	75	732
47	76	719
48	76	705
49	76	692
50	77	679
51	77	667
52	77	655
53	77	643
54	78	632
55	78	621
56	78	611
57	78	601
58	79	594
59	79	585
60	80	576
61	80	567
62	80	558
63	80	550
64	81	542
65	81	534
66	81	528
67	81	520
68	82	513
69	82	506
70	82	499
71	82	493
72	83	486
73	83	480
74	83	474
75	83	468
76	84	462
77	84	456
78	84	451
79	84	445
80	85	440
81	85	435
82	85	430
83	85	425
84	86	420
85	86	415
86	86	410
87	86	406
88	86	401
89	87	397
90	87	393
91	87	388
92	87	384
93	88	380
94	88	377
95	88	373
96	89	369
97	89	366
98	89	362
99	89	359
100	90	355
101	90	352
102	90	349
103	90	345
104	91	342
105	91	339
106	91	337
107	92	333
108	92	330
109	92	327
110	92	325
111	93	322
112	93	319
113	93	316
114	93	314
115	94	311
116	94	308
117	94	306
118	94	303
119	95	301
120	95	298
121	95	296
122	95	294
123	96	292
124	96	290
125	97	288
126	97	286
127	97	283
128	97	281
129	98	279
130	98	277
131	98	275
132	99	273
133	99	271
134	99	269
135	99	266
136	100	264
137	100	262
138	100	260
139	101	259
140	101	257
141	101	256
142	101	254
143	102	252
144	102	250
145	102	248
146	102	246
147	103	245
148	103	243
149	103	241
150	103	239
151	104	238
152	104	236
153	104	235
154	104	233
155	105	231
156	105	230
157	105	228
158	106	227
159	106	225
160	106	224
161	106	222
162	107	221
163	107	220
164	107	218
165	107	217
166	108	215
167	108	214
168	108	212
169	108	211
170	109	210
171	109	208
172	109	207
173	109	206
174	110	204
175	110	203
176	110	202
177	111	201
178	111	200
179	112	199
180	112	197
181	112	196
182	112	195
183	113	194
184	113	192
185	113	191
186	113	190
187	114	189
188	114	188
189	114	187
190	115	186
191	115	185
192	115	184
193	116	183
194	116	181
195	116	180
196	116	179
197	117	178
198	117	177
199	117	176
200	117	175
201	118	174
202	118	173
203	118	172
204	118	171
205	119	170
206	119	169
207	119	167
208	119	166
209	120	165
210	120	164
211	120	164
212	121	163
213	121	162
214	121	161
215	121	160
216	122	159
217	122	158
218	122	157
219	123	156
220	123	155
221	123	154
222	123	153
223	124	153
224	124	152
225	124	151
226	125	150
227	125	149
228	125	148
229	125	147
230	126	147
231	126	146
232	127	145
233	127	144
234	127	143
235	127	143
236	128	142
237	128	141
238	128	140
239	128	139
240	129	138
241	129	138
242	129	137
243	129	136
244	130	135
245	130	134
246	130	133
247	131	133
248	131	132
249	131	131
250	131	130
251	132	129
252	132	129
253	132	128
254	132	127
255	133	126
256	133	126
257	133	125
258	133	124
259	134	123
260	134	122
261	134	122
262	134	121
263	135	120
264	135	120
265	135	119
266	136	118
267	136	117
268	136	117
269	136	116
270	136	115
271	137	115
272	137	114
273	137	113
274	138	112
275	138	112
276	138	111
277	138	110
278	139	110
279	139	109
280	139	108
281	139	108
282	140	107
283	140	106
284	140	106
285	140	105
286	141	104
287	141	104
288	141	103
289	141	102
290	142	102
291	142	101
292	142	100
293	142	100
294	143	99
295	143	99
296	144	98
297	144	97
298	144	97
299	145	96
300	145	96
301	145	95
302	146	95
303	146	94
304	147	94
305	147	93
306	147	92
307	147	92
308	148	91
309	148	90
310	148	90
311	148	89
312	149	89
313	149	88
314	149	87
315	149	87
316	150	86
317	150	86
318	150	85
319	151	84
320	151	84
321	151	83
322	151	83
323	152	82
324	152	82
325	152	81
326	153	80
327	153	80
328	153	79
329	153	79
330	154	78
331	154	78
332	154	77
333	155	77
334	155	76
335	155	75
336	155	75
337	156	74
338	156	74
339	156	73
340	157	73
341	157	72
342	157	72
343	158	71
344	158	71
345	158	70
346	158	70
347	159	69
348	159	69
349	159	68
350	160	67
351	160	67
352	160	66
353	160	66
354	161	65
355	161	65
356	161	64
357	161	64
358	162	63
359	162	63
360	162	62
361	162	62
362	163	61
363	163	61
364	163	60
365	163	59
366	164	59
367	164	58
368	164	58
369	164	57
370	165	57
371	165	56
372	165	56
373	165	55
374	166	55
375	166	54
376	166	54
377	166	53
378	167	53
379	167	52
380	167	52
381	168	52
382	168	51
383	168	51
384	169	50
385	169	50
386	169	49
387	169	49
388	170	48
389	170	48
390	170	47
391	170	47
392	171	46
393	171	46
394	171	45
395	172	45
396	172	44
397	172	44
398	172	43
399	173	43
400	173	42
401	173	42
402	174	41
403	174	41
404	174	40
405	174	40
406	175	39
407	175	39
408	175	39
409	175	38
410	176	38
411	176	37
412	176	37
413	176	36
414	177	36
415	177	35
416	177	35
417	178	34
418	178	34
419	178	34
420	178	33
421	179	33
422	179	32
423	179	32
424	179	31
425	180	31
426	180	30
427	181	30
428	181	30
429	181	29
430	181	29
431	182	28
432	182	28
433	182	27
434	182	27
435	183	26
436	183	26
437	183	26
438	184	25
439	184	25
440	184	24
441	184	24
442	185	23
443	185	23
444	185	22
445	186	22
446	186	22
447	186	21
448	186	21
449	187	20
450	187	20
451	187	19
452	188	19
453	188	19
454	188	18
455	188	18
456	189	17
457	189	17
458	189	16
459	190	16
460	190	16
461	190	15
462	190	15
463	191	14
464	191	14
465	191	13
466	191	13
467	192	13
468	192	12
469	192	12
470	192	11
471	193	11
472	193	11
473	193	10
474	193	10
475	194	9
476	194	9
477	194	8
478	194	8
479	195	8
480	195	7
481	195	7
482	195	6
483	196	6
484	196	6
485	196	5
486	196	5
487	197	4
488	197	4
489	197	4
490	198	3
491	198	3
492	198	2
493	198	2
494	199	2
495	199	1
496	199	1
497	199	0
498	200	0
499	200	0
